age,experience,education_years,heures_semaine,nb_projets,evaluation_performance,anciennete_entreprise,niveau_education,departement,poste,ville,secteur,taille_entreprise,salaire_annuel
39,3,5,39,8.0,6.4,1,Master,Marketing,Intermédiaire,Toulouse,Tech,Grande Entreprise,97000.0
52,1,7,35,1.0,6.3,0,Doctorat,Finance,Junior,Marseille,Industrie,PME,59200.0
27,0,5,36,3.0,2.8,0,Master,Marketing,Junior,Autres,Tech,PME,42000.0
33,1,5,39,,5.5,0,Master,Marketing,Junior,Paris,Finance,Grande Entreprise,86600.0
30,2,3,40,2.0,6.2,0,Licence,IT,Junior,Autres,Santé,ETI,50100.0
26,0,0,35,2.0,6.1,0,Bac,Marketing,Junior,Paris,Finance,Grande Entreprise,49700.0
30,2,7,35,1.0,7.7,0,Doctorat,R&D,Junior,Toulouse,Santé,PME,77900.0
37,1,4,42,2.0,3.8,0,Master,Ventes,Junior,Lyon,Tech,ETI,60900.0
33,5,5,42,6.0,8.9,0,Master,IT,Senior,Paris,Finance,PME,167300.0
39,6,4,35,7.0,6.2,3,Licence,Finance,Senior,Paris,Industrie,PME,126400.0
53,12,3,43,12.0,8.2,0,Licence,RH,Directeur,Paris,Industrie,PME,250000.0
38,3,6,40,2.0,4.9,0,Master,RH,Junior,Marseille,Finance,Grande Entreprise,64500.0
26,1,0,38,1.0,3.8,0,Bac,Marketing,Junior,Paris,Santé,ETI,38300.0
35,4,4,35,2.0,5.0,1,Master,R&D,Intermédiaire,Lyon,Finance,Startup,92300.0
37,6,3,42,15.0,5.9,1,Licence,Finance,Manager,Paris,Finance,PME,203200.0
43,3,4,43,8.0,5.9,0,Licence,Ventes,Manager,Toulouse,Tech,ETI,119500.0
34,1,2,41,4.0,6.2,0,Licence,RH,Junior,Paris,Santé,Startup,41300.0
44,5,3,35,3.0,4.3,1,Licence,IT,Senior,Toulouse,Finance,Grande Entreprise,131700.0
40,1,7,39,5.0,6.5,0,Doctorat,R&D,Senior,Paris,Santé,PME,138100.0
38,2,4,39,9.0,4.7,0,Master,IT,Senior,Paris,Finance,PME,128700.0
33,1,1,38,5.0,3.5,0,Bac,Marketing,Senior,Marseille,Industrie,Grande Entreprise,61200.0
24,0,3,39,2.0,5.4,0,Licence,Ventes,Junior,Toulouse,Tech,ETI,49000.0
38,5,4,46,5.0,6.4,1,Master,Finance,Intermédiaire,Autres,Finance,PME,113900.0
27,1,5,39,3.0,7.7,0,Master,R&D,Junior,Lyon,Finance,Startup,70600.0
22,0,2,36,3.0,6.8,0,Licence,Finance,Junior,Marseille,Santé,ETI,51800.0
31,1,6,38,1.0,6.0,0,Master,RH,Junior,Paris,Santé,ETI,59700.0
36,2,2,35,4.0,5.5,0,Licence,Finance,Intermédiaire,Paris,Tech,Grande Entreprise,99300.0
33,2,3,39,4.0,5.1,0,Licence,Ventes,Intermédiaire,Paris,Tech,Grande Entreprise,89200.0
42,5,7,35,3.0,7.4,1,Doctorat,IT,Senior,Marseille,Finance,Grande Entreprise,193900.0
40,5,2,38,8.0,7.3,0,Licence,IT,Senior,Toulouse,Tech,Startup,104000.0
38,7,1,42,12.0,7.6,2,Bac,Finance,Manager,Lyon,Tech,ETI,173300.0
38,3,3,38,6.0,6.3,0,Licence,IT,Intermédiaire,Autres,Industrie,ETI,64600.0
39,4,4,39,2.0,7.2,0,Licence,Marketing,Senior,Paris,Tech,Grande Entreprise,140100.0
25,2,6,37,5.0,6.3,1,Master,IT,Intermédiaire,Toulouse,Finance,ETI,100400.0
40,1,6,42,1.0,5.1,0,Master,RH,Junior,Paris,Finance,Startup,57400.0
42,4,5,35,1.0,6.5,1,Master,IT,Junior,Paris,Tech,Startup,75700.0
24,0,0,39,6.0,6.3,0,Bac,Finance,Intermédiaire,Paris,Industrie,ETI,63200.0
45,9,0,41,1.0,6.1,3,Bac,R&D,Senior,Paris,Tech,ETI,150900.0
22,0,2,42,2.0,4.8,0,Licence,IT,Junior,Paris,Tech,Startup,48100.0
28,2,7,35,6.0,6.7,0,Doctorat,IT,Senior,Lyon,Industrie,Grande Entreprise,148200.0
25,0,2,35,1.0,7.2,0,Licence,IT,Junior,Lyon,Services,ETI,43100.0
37,1,2,43,0.0,5.4,0,Licence,RH,Junior,Autres,Industrie,PME,34600.0
36,0,4,42,1.0,6.9,0,Master,RH,Junior,Marseille,Finance,ETI,57200.0
46,4,4,35,3.0,6.0,0,Master,Ventes,Intermédiaire,Marseille,Santé,Startup,76100.0
34,1,7,40,7.0,3.2,0,Doctorat,IT,Senior,Autres,Finance,PME,115100.0
22,0,2,36,3.0,6.0,0,Licence,RH,Junior,Paris,Industrie,ETI,40900.0
35,1,8,36,12.0,4.8,0,Doctorat,Finance,Senior,Autres,Santé,PME,105200.0
43,3,5,38,5.0,7.3,0,Master,Marketing,Intermédiaire,Autres,Finance,Grande Entreprise,99800.0
30,3,1,41,3.0,7.5,1,Bac,IT,Intermédiaire,Autres,Services,Startup,47700.0
41,2,2,38,7.0,2.7,1,Licence,IT,Intermédiaire,Paris,Tech,PME,69400.0
29,4,0,41,1.0,6.9,0,Bac,IT,Intermédiaire,Paris,Industrie,Startup,66300.0
31,3,4,41,1.0,6.4,0,Licence,Marketing,Junior,Lyon,Finance,ETI,62700.0
36,3,4,37,5.0,6.3,0,Master,IT,Intermédiaire,Toulouse,Industrie,Startup,77300.0
40,4,4,37,2.0,4.1,0,Master,RH,Junior,Paris,Tech,ETI,68100.0
41,0,5,38,2.0,3.7,0,Master,Finance,Junior,Paris,Tech,Startup,58600.0
28,1,4,44,1.0,6.0,0,Licence,Finance,Junior,Autres,Santé,PME,49500.0
41,9,5,40,6.0,8.1,1,Master,IT,Senior,Paris,Tech,ETI,206400.0
36,0,6,39,1.0,7.4,0,Master,R&D,Junior,Autres,Santé,Grande Entreprise,59200.0
38,3,1,41,2.0,5.7,0,Bac,Finance,Intermédiaire,Autres,Finance,PME,68100.0
32,1,5,35,3.0,6.3,0,Master,Finance,Junior,Paris,Tech,PME,72500.0
29,2,4,41,8.0,4.0,0,Master,IT,Intermédiaire,Paris,Tech,PME,93400.0
28,2,3,43,7.0,5.1,0,Licence,IT,Senior,Lyon,Services,Grande Entreprise,86500.0
34,3,4,41,2.0,2.7,0,Master,RH,Intermédiaire,Lyon,Tech,Startup,66300.0
25,0,2,35,2.0,4.9,0,Licence,RH,Junior,Paris,Finance,Grande Entreprise,53600.0
22,0,6,40,5.0,5.3,0,Master,Ventes,Junior,Paris,Finance,ETI,68600.0
26,1,4,39,2.0,5.2,0,Master,Finance,Junior,Marseille,Finance,Grande Entreprise,66300.0
45,10,6,41,7.0,6.0,1,Master,IT,Senior,Autres,Tech,PME,142100.0
24,0,1,37,3.0,4.0,0,Bac,IT,Junior,Paris,Santé,Startup,37200.0
33,3,7,36,5.0,5.0,0,Doctorat,R&D,Intermédiaire,Lyon,Finance,PME,119000.0
44,7,3,47,6.0,6.6,2,Licence,R&D,Manager,Paris,Tech,Grande Entreprise,250000.0
38,2,4,44,6.0,6.3,0,Licence,Finance,Senior,Lyon,Services,PME,74600.0
45,9,3,37,6.0,8.2,1,Licence,Finance,Senior,Paris,Services,PME,146700.0
45,2,6,41,0.0,4.5,0,Master,IT,Intermédiaire,Marseille,Finance,ETI,93100.0
42,3,9,36,7.0,7.0,2,Doctorat,Marketing,Intermédiaire,Lyon,Finance,Grande Entreprise,128000.0
41,5,4,43,9.0,5.4,1,Master,Finance,Senior,Autres,Finance,ETI,134200.0
30,1,6,36,3.0,6.2,0,Master,Finance,Junior,Lyon,Finance,ETI,70900.0
31,0,2,41,9.0,5.2,0,Licence,Ventes,Senior,Toulouse,Services,ETI,65700.0
22,0,0,39,0.0,4.8,0,Bac,Ventes,Junior,Lyon,Finance,Grande Entreprise,40900.0
39,4,4,39,3.0,6.3,1,Licence,IT,Intermédiaire,Paris,Services,PME,69300.0
37,5,6,40,5.0,7.7,0,Master,IT,Intermédiaire,Autres,Industrie,Grande Entreprise,97000.0
29,2,0,43,2.0,8.6,0,Bac,Finance,Junior,Lyon,Services,PME,46200.0
38,2,4,40,2.0,3.8,0,Master,IT,Intermédiaire,Paris,Tech,Grande Entreprise,106400.0
40,2,4,35,5.0,4.3,0,Licence,Marketing,Senior,Paris,Finance,ETI,95900.0
22,0,2,40,,3.0,0,Licence,IT,Junior,Marseille,Services,Grande Entreprise,44900.0
30,0,4,37,1.0,7.0,0,Master,R&D,Junior,Paris,Santé,Grande Entreprise,75700.0
24,1,4,35,0.0,6.9,0,Master,Finance,Junior,Paris,Services,ETI,65000.0
39,7,7,44,7.0,5.6,1,Doctorat,R&D,Manager,Autres,Finance,Grande Entreprise,226700.0
31,1,1,39,0.0,5.9,0,Bac,RH,Junior,Paris,Services,PME,32400.0
43,6,4,42,7.0,6.9,3,Licence,Finance,Intermédiaire,Lyon,Industrie,ETI,92300.0
43,3,5,42,7.0,5.8,0,Master,Ventes,Senior,Autres,Finance,Grande Entreprise,136600.0
49,0,9,46,4.0,8.2,0,Doctorat,R&D,Junior,Marseille,Finance,Grande Entreprise,97600.0
27,1,2,37,2.0,7.3,0,Licence,Ventes,Junior,Paris,Finance,PME,59800.0
42,3,3,52,8.0,5.6,1,Licence,Ventes,Manager,Autres,Tech,PME,120700.0
40,9,4,41,7.0,4.6,2,Licence,IT,Intermédiaire,Autres,Santé,Grande Entreprise,96800.0
24,0,6,41,5.0,4.3,0,Master,R&D,Senior,Lyon,Tech,PME,95000.0
46,4,4,39,2.0,6.6,0,Licence,RH,Junior,Paris,Finance,Grande Entreprise,76200.0
29,1,1,36,2.0,7.6,0,Bac,Finance,Junior,Paris,Services,ETI,47100.0
33,0,6,40,4.0,5.3,0,Master,Finance,Junior,Paris,Tech,ETI,68300.0
33,0,4,35,4.0,5.7,0,Master,Ventes,Junior,Autres,Tech,Startup,45300.0
29,2,3,38,0.0,4.9,0,Licence,Marketing,Junior,Autres,Santé,Grande Entreprise,50100.0
22,0,4,36,4.0,4.7,0,Licence,Finance,Senior,Autres,Finance,ETI,79700.0
26,0,0,39,3.0,5.2,0,Bac,Marketing,Junior,Lyon,Industrie,Grande Entreprise,33000.0
36,0,0,38,0.0,7.0,0,Bac,RH,Junior,Paris,Tech,Grande Entreprise,40000.0
24,0,4,36,0.0,5.2,0,Licence,IT,Junior,Paris,Finance,Grande Entreprise,66700.0
32,1,5,41,2.0,4.3,0,Master,Marketing,Intermédiaire,Autres,Industrie,PME,55500.0
26,0,2,36,5.0,4.0,0,Licence,IT,Junior,Paris,Santé,PME,46200.0
41,1,3,40,2.0,5.2,0,Licence,RH,Junior,Toulouse,Tech,ETI,46400.0
39,2,4,42,11.0,4.5,0,Master,IT,Manager,Lyon,Finance,Startup,140500.0
54,13,4,42,10.0,7.9,5,Master,RH,Manager,Autres,Tech,Startup,182600.0
27,0,3,43,1.0,2.9,0,Licence,IT,Junior,Paris,Tech,ETI,57700.0
50,4,3,40,5.0,6.3,0,Licence,IT,Intermédiaire,Autres,Tech,ETI,81000.0
35,1,4,43,1.0,4.8,0,Licence,Ventes,Junior,Autres,Santé,Startup,38300.0
57,12,2,38,3.0,7.1,5,Licence,Finance,Senior,Paris,Tech,Grande Entreprise,237400.0
43,1,0,41,2.0,6.9,0,Bac,Ventes,Junior,Lyon,Services,Startup,30400.0
36,2,6,38,6.0,5.0,0,Master,Finance,Intermédiaire,Paris,Santé,Grande Entreprise,111300.0
27,2,4,44,8.0,4.5,0,Master,Marketing,Manager,Autres,Santé,PME,105000.0
47,15,4,35,9.0,6.7,2,Master,IT,Directeur,Lyon,Santé,ETI,250000.0
52,20,6,49,9.0,5.8,4,Master,Finance,Manager,Paris,Tech,Grande Entreprise,250000.0
27,0,8,43,1.0,4.8,0,Doctorat,Finance,Junior,Autres,Services,Startup,48900.0
36,4,0,37,4.0,6.6,0,Bac,IT,Intermédiaire,Paris,Finance,Startup,81200.0
38,5,6,42,5.0,5.1,0,Master,IT,Intermédiaire,Paris,Finance,Startup,120600.0
39,4,1,35,4.0,7.2,1,Bac,Finance,Intermédiaire,Lyon,Services,Grande Entreprise,72200.0
33,1,0,35,1.0,6.3,0,Bac,R&D,Junior,Marseille,Industrie,PME,37100.0
27,0,4,39,2.0,4.6,0,Licence,Marketing,Junior,Paris,Tech,Grande Entreprise,61800.0
44,9,1,48,9.0,4.7,2,Bac,Ventes,Manager,Autres,Services,PME,124300.0
22,0,2,39,1.0,6.5,0,Licence,RH,Junior,Autres,Tech,ETI,38100.0
36,2,4,38,5.0,4.7,0,Master,Ventes,Junior,Marseille,Services,ETI,48000.0
50,5,2,39,8.0,5.0,2,Licence,RH,Senior,Autres,Finance,PME,90400.0
31,0,6,39,1.0,5.4,0,Master,RH,Junior,Lyon,Services,PME,41800.0
29,0,6,39,1.0,5.5,0,Master,Ventes,Junior,Autres,Tech,Grande Entreprise,56200.0
31,2,6,40,3.0,5.7,0,Master,RH,Senior,Paris,Santé,PME,98800.0
31,4,6,39,1.0,6.1,1,Master,IT,Junior,Autres,Finance,Grande Entreprise,91300.0
45,6,4,46,7.0,6.2,1,Master,IT,Manager,Paris,Tech,ETI,249000.0
36,0,0,35,2.0,4.8,0,Bac,R&D,Junior,Paris,Tech,ETI,52800.0
41,1,4,35,3.0,6.0,0,Licence,IT,Junior,Lyon,Tech,Startup,45800.0
46,1,2,37,0.0,4.9,0,Licence,Ventes,Junior,Autres,Industrie,ETI,37300.0
37,5,9,40,0.0,4.7,1,Doctorat,IT,Senior,Autres,Finance,Grande Entreprise,171000.0
42,9,8,38,2.0,7.0,1,Doctorat,IT,Intermédiaire,Paris,Tech,Grande Entreprise,188600.0
47,7,3,46,7.0,6.8,3,Licence,Ventes,Directeur,Lyon,Santé,Grande Entreprise,250000.0
29,1,0,42,3.0,7.0,0,Bac,Ventes,Junior,Paris,Services,PME,37900.0
27,1,1,42,2.0,3.0,0,Bac,Finance,Junior,Autres,Santé,ETI,38500.0
29,1,0,41,0.0,4.3,0,Bac,IT,Junior,Paris,Tech,Grande Entreprise,60300.0
47,18,3,37,9.0,7.4,11,Licence,Finance,Manager,Marseille,Tech,PME,250000.0
39,4,4,42,5.0,6.2,0,Master,Finance,Intermédiaire,Paris,Tech,PME,112200.0
22,0,3,41,0.0,6.7,0,Licence,Finance,Junior,Paris,Tech,Startup,52000.0
42,12,0,41,5.0,5.3,3,Bac,Ventes,Senior,Toulouse,Finance,PME,144900.0
31,1,7,40,1.0,4.9,0,Doctorat,R&D,Junior,Autres,Services,ETI,65300.0
31,1,4,39,1.0,4.9,0,Licence,IT,Junior,Paris,Finance,PME,51200.0
41,10,4,36,6.0,3.3,2,Master,RH,Senior,Autres,Tech,ETI,121600.0
27,1,3,38,2.0,5.8,0,Licence,Ventes,Junior,Paris,Santé,PME,45700.0
25,1,2,37,3.0,5.5,0,Licence,R&D,Junior,Toulouse,Finance,PME,51100.0
26,1,5,43,2.0,4.3,0,Master,RH,Junior,Paris,Industrie,ETI,50400.0
34,2,8,38,4.0,5.5,1,Doctorat,Finance,Intermédiaire,Marseille,Tech,Startup,101500.0
27,0,1,37,2.0,7.2,0,Bac,IT,Junior,Autres,Services,Startup,31500.0
40,1,7,37,3.0,6.9,0,Doctorat,Finance,Junior,Toulouse,Tech,Grande Entreprise,86100.0
35,6,3,35,6.0,3.5,2,Licence,Ventes,Senior,Autres,Finance,ETI,107900.0
22,0,1,41,3.0,5.4,0,Bac,IT,Junior,Paris,Finance,Grande Entreprise,53200.0
34,1,0,38,5.0,6.8,0,Bac,Finance,Junior,Autres,Services,PME,34200.0
39,7,4,42,5.0,6.3,2,Master,RH,Senior,Paris,Tech,PME,125900.0
37,1,7,37,3.0,3.7,0,Doctorat,Marketing,Junior,Toulouse,Finance,Grande Entreprise,83500.0
22,0,1,36,3.0,6.4,0,Bac,IT,Junior,Marseille,Industrie,Startup,30900.0
48,6,6,55,8.0,4.2,1,Master,Finance,Directeur,Paris,Finance,ETI,250000.0
24,0,1,41,3.0,5.7,0,Bac,Finance,Junior,Autres,Tech,PME,35300.0
39,5,4,41,2.0,4.6,0,Master,RH,Intermédiaire,Lyon,Services,Grande Entreprise,81300.0
46,2,4,37,5.0,2.8,0,Licence,Finance,Senior,Paris,Services,Grande Entreprise,91000.0
36,0,4,35,1.0,4.2,0,Licence,Finance,Junior,Paris,Tech,ETI,60000.0
40,5,4,36,6.0,6.1,1,Master,Finance,Senior,Paris,Santé,Startup,131000.0
38,8,4,42,10.0,4.2,0,Licence,R&D,Manager,Lyon,Finance,ETI,185700.0
58,12,3,49,9.0,8.0,6,Licence,Marketing,Manager,Lyon,Tech,PME,206900.0
32,5,5,35,5.0,6.1,2,Master,Finance,Senior,Paris,Services,PME,145000.0
43,8,7,46,6.0,8.2,3,Doctorat,IT,Manager,Paris,Santé,Grande Entreprise,250000.0
38,2,1,40,5.0,5.1,0,Bac,RH,Intermédiaire,Autres,Tech,ETI,47500.0
39,1,9,38,2.0,5.9,0,Doctorat,IT,Junior,Paris,Santé,ETI,79100.0
37,2,8,39,5.0,4.0,0,Doctorat,IT,Intermédiaire,Marseille,Finance,Startup,95900.0
29,2,1,37,2.0,7.0,0,Bac,IT,Junior,Lyon,Services,ETI,42800.0
36,5,2,44,4.0,5.5,0,Licence,Finance,Intermédiaire,Autres,Services,PME,70800.0
27,1,3,39,5.0,5.0,0,Licence,Ventes,Junior,Autres,Tech,PME,41600.0
32,2,9,44,2.0,4.8,0,Doctorat,IT,Junior,Paris,Santé,Grande Entreprise,102100.0
22,0,2,40,1.0,4.6,0,Licence,Finance,Intermédiaire,Toulouse,Santé,PME,49400.0
32,4,5,38,4.0,6.1,0,Master,Marketing,Intermédiaire,Paris,Services,PME,83100.0
35,7,8,36,7.0,5.2,0,Doctorat,Ventes,Senior,Lyon,Tech,ETI,168300.0
32,1,1,43,1.0,6.6,0,Bac,RH,Junior,Marseille,Tech,Grande Entreprise,44600.0
33,1,3,42,2.0,6.0,0,Licence,IT,Junior,Autres,Finance,Startup,43700.0
27,1,0,39,1.0,3.2,0,Bac,Marketing,Junior,Paris,Tech,Grande Entreprise,45400.0
36,9,7,37,7.0,6.4,4,Doctorat,Finance,Senior,Paris,Santé,ETI,224600.0
22,0,0,35,3.0,3.7,0,Bac,Ventes,Intermédiaire,Paris,Tech,PME,48300.0
40,5,3,42,12.0,9.3,1,Licence,Ventes,Senior,Paris,Finance,Grande Entreprise,180500.0
32,2,4,37,4.0,4.8,0,Licence,Finance,Intermédiaire,Marseille,Finance,PME,70000.0
41,0,3,40,1.0,5.8,0,Licence,IT,Junior,Paris,Tech,ETI,58200.0
34,6,4,45,5.0,5.9,0,Licence,Ventes,Manager,Marseille,Finance,PME,150700.0
28,1,4,40,8.0,6.3,0,Licence,IT,Senior,Toulouse,Tech,Grande Entreprise,101400.0
24,1,5,35,,6.3,0,Master,IT,Junior,Paris,Finance,ETI,86700.0
36,3,1,37,3.0,4.5,0,Bac,R&D,Intermédiaire,Toulouse,Tech,Grande Entreprise,73800.0
31,0,3,37,2.0,5.5,0,Licence,IT,Junior,Paris,Services,Startup,37800.0
26,1,0,44,1.0,6.9,0,Bac,Marketing,Junior,Paris,Finance,PME,48800.0
35,6,2,37,7.0,4.8,1,Licence,Finance,Senior,Autres,Services,Grande Entreprise,109900.0
26,2,6,43,6.0,6.0,0,Master,Ventes,Intermédiaire,Lyon,Finance,PME,89200.0
36,9,9,38,3.0,8.2,2,Doctorat,R&D,Senior,Paris,Services,PME,188300.0
44,8,4,42,7.0,4.7,2,Licence,IT,Intermédiaire,Paris,Industrie,PME,108400.0
36,3,4,41,3.0,7.7,1,Master,R&D,Senior,Autres,Santé,ETI,117500.0
41,8,3,35,4.0,5.4,3,Licence,Finance,Senior,Autres,Santé,Grande Entreprise,134800.0
37,5,0,41,8.0,3.9,1,Bac,Finance,Intermédiaire,Paris,Services,Grande Entreprise,94700.0
29,3,0,36,8.0,5.5,0,Bac,IT,Intermédiaire,Toulouse,Services,ETI,60500.0
40,8,4,43,4.0,6.0,2,Licence,Finance,Intermédiaire,Autres,Finance,PME,103500.0
32,2,8,41,13.0,6.8,0,Doctorat,IT,Senior,Autres,Tech,Startup,113000.0
29,1,3,39,2.0,5.5,0,Licence,IT,Junior,Marseille,Finance,Startup,50600.0
28,1,4,39,1.0,5.4,0,Master,RH,Junior,Autres,Finance,ETI,52300.0
35,3,2,36,2.0,6.0,1,Licence,RH,Intermédiaire,Lyon,Services,Grande Entreprise,66800.0
26,0,5,39,2.0,5.8,0,Master,IT,Junior,Toulouse,Finance,ETI,67100.0
32,2,4,43,4.0,5.3,0,Master,Marketing,Intermédiaire,Paris,Services,ETI,81200.0
31,3,3,35,2.0,5.6,0,Licence,Finance,Intermédiaire,Lyon,Industrie,PME,64200.0
50,11,0,43,10.0,8.5,4,Bac,IT,Manager,Lyon,Finance,ETI,201300.0
35,3,7,36,3.0,7.5,0,Doctorat,R&D,Junior,Paris,Finance,ETI,115400.0
25,0,2,40,5.0,8.6,0,Licence,Ventes,Junior,Toulouse,Services,Grande Entreprise,47300.0
29,0,5,43,1.0,4.2,0,Master,Finance,Junior,Autres,Tech,ETI,60500.0
45,4,2,42,1.0,6.1,0,Licence,Marketing,Junior,Paris,Tech,Grande Entreprise,69600.0
37,5,0,47,7.0,5.6,2,Bac,Finance,Manager,Autres,Industrie,Grande Entreprise,143700.0
37,1,5,43,1.0,6.9,0,Master,IT,Intermédiaire,Lyon,Finance,ETI,97900.0
35,3,9,37,4.0,7.2,0,Doctorat,R&D,Intermédiaire,Paris,Finance,PME,142400.0
22,0,0,43,2.0,6.3,0,Bac,Finance,Junior,Paris,Tech,Startup,42900.0
27,1,4,43,2.0,6.8,0,Licence,Finance,Junior,Toulouse,Tech,PME,56200.0
29,0,6,35,0.0,4.0,0,Master,Ventes,Junior,Paris,Tech,Grande Entreprise,71400.0
35,6,3,37,5.0,6.2,4,Licence,IT,Senior,Paris,Santé,ETI,130000.0
30,4,3,42,5.0,4.5,1,Licence,Finance,Intermédiaire,Autres,Industrie,PME,60900.0
33,2,4,37,2.0,7.2,0,Licence,R&D,Junior,Lyon,Tech,ETI,56500.0
31,2,2,36,6.0,5.1,0,Licence,Ventes,Intermédiaire,Paris,Finance,PME,76000.0
36,3,2,39,2.0,6.1,0,Licence,Marketing,Intermédiaire,Paris,Santé,ETI,73000.0
23,0,5,41,0.0,4.7,0,Master,IT,Junior,Autres,Finance,PME,52600.0
35,4,8,38,6.0,,2,Doctorat,R&D,Intermédiaire,Paris,Services,PME,113800.0
25,1,3,42,2.0,5.4,0,Licence,Finance,Junior,Autres,Finance,ETI,49900.0
46,3,3,38,3.0,6.2,0,Licence,R&D,Intermédiaire,Paris,Finance,ETI,106500.0
